HostTaxID,VirusTaxID
58057,2042591
58057,694006
58057,694006
32536,693997
32536,693997
32536,693997
32536,693997
32536,693997
32536,693997
32536,693997
32536,693997
32536,693997
32536,693997
284517,1906673
568927,2419667
568927,2419667
568927,2419667
568927,2419667
706245,694014
706245,694014
706245,694014
706245,694014
9646,693997
9646,693997
9646,693997
9646,693997
9646,693997
9646,693997
9646,693997
9646,694009
244084,694014
244084,694014
244084,694014
244084,694014
244084,694014
244084,1697926
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
28680,694014
75834,694014
75834,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
75839,694014
45630,694014
45630,694014
45630,694014
45630,694014
45630,694014
45630,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
8839,694014
75854,694014
75854,694014
75854,694014
75854,694014
45632,694014
45632,694014
45632,694014
45632,694014
45632,1911231
45632,2163008
27642,2042539
27642,2042539
27642,2042539
148021,1269302
148021,1269302
148021,1269305
148021,1269305
148021,1269306
148021,1269306
148021,1269307
148021,1269307
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8843,694014
8849,694014
8849,694014
8849,694014
8849,694014
8849,694014
8849,694014
8849,2569586
107021,694014
107021,694014
8845,1934040
8845,694014
8845,694014
8845,694014
8845,694014
132587,694014
132587,694014
132587,694014
132587,694014
132587,694014
249033,1289544
249033,1289550
39030,2501960
39030,2501960
39030,1679909
39030,1679909
39030,1679920
39030,1679920
39030,1508222
39030,1508222
39030,1508222
39030,1508222
39030,2050018
39030,2050018
39030,2050018
39030,2050018
39030,2050018
129246,2501960
129246,2501960
129246,2501960
129246,1964806
129246,1964806
129246,1964806
129246,1964807
129246,1964807
129246,1964810
129246,1964810
129246,1964811
129246,1964811
129246,1508224
129246,1508224
129246,1508224
129247,1964808
129247,2050018
129247,2050018
54292,1679884
54292,1679884
54292,1679917
54292,1679917
54292,1679918
54292,1679918
256595,1964808
256595,1964808
214933,2501960
214933,2501960
214933,1508224
214933,1508224
105297,2794357
105297,2794357
105297,2050018
105297,2050018
105297,2050018
10129,2050018
10129,2050018
9234,694014
9234,694014
9234,694014
9234,694014
9234,694014
9226,694003
9226,694005
9226,694005
9226,694005
139309,694009
30390,694014
30390,694014
30390,694014
30390,694014
30390,694014
30390,694014
30390,694014
30390,694014
30390,694014
188375,694014
188375,694014
188375,694014
188375,694014
188375,694014
188375,694014
188375,694014
188375,694014
188375,694014
188375,694014
188375,694014
188375,694014
188375,694014
188375,694014
188375,694014
188375,694014
54971,694014
54971,694014
54971,694014
54971,694014
54971,694014
54971,694014
54971,694014
54971,1911231
54971,2734510
54971,2163008
54971,2776968
9417,1269312
9417,1269312
9417,1269313
9417,1269313
9417,1269315
9417,1269315
9417,1289549
9417,1289549
9417,1289549
9417,1289550
9417,1289550
9417,1289550
9417,1289551
9417,1289551
9417,1289551
9417,1289551
9417,1289551
27634,1508220
27634,1508220
27634,1897067
27634,1897067
27634,1897068
27634,1897068
27634,1897069
27634,1897069
27634,1269292
27634,1269292
27634,1269314
27634,1269314
27634,1289546
27634,1289546
27634,1289546
27634,1289556
27634,1289556
27634,1289551
27634,1289551
27634,1289551
27634,2042542
27634,2042542
27634,2042542
40228,2042538
40228,2042538
40228,2042538
40229,1289546
40229,1289546
40229,1289546
40229,1289556
40229,1289556
40229,1289556
40229,1289556
40229,1289556
40230,1906673
40230,1906673
40230,1508220
40230,1508220
40230,2042565
40230,2042565
40230,2042565
188568,2856874
188568,1244203
188568,1244203
188568,1244203
188568,393045
188568,393045
188568,693998
188568,693998
188568,694009
188568,694009
188568,694009
219594,694014
219594,694014
219594,694014
219594,694014
219594,694014
219594,694014
189534,694014
189534,694014
69079,1508222
69079,1508222
69079,694005
69079,694005
456472,1679922
456472,1679922
456472,1508222
456472,1508222
456472,1508222
456472,1508222
456472,1508222
456472,1508223
456472,1508223
456472,694005
456472,694005
456472,694005
456472,694005
456472,694005
456472,694005
456472,694005
456472,694005
456472,2050018
456472,2050018
456473,1986198
456473,1986198
456473,1986198
83759,1508222
83759,1508222
9902,694003
9902,694003
9902,694003
30520,694003
30521,694003
30521,694003
30521,694003
30521,694003
30521,694003
9915,694003
9915,694003
9915,694003
9915,694003
72004,694009
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
9913,694003
