Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Chitin Catabolic Process (GO:0006032),1/5,0.0029966530298936,0.0119701870249755,0,0,454.1818181818182,2638.914119276588,CHIA
GO_Biological_Process_2023,Chitin Metabolic Process (GO:0006030),1/5,0.0029966530298936,0.0119701870249755,0,0,454.1818181818182,2638.914119276588,CHIA
GO_Biological_Process_2023,Glucosamine-Containing Compound Catabolic Process (GO:1901072),1/8,0.0047907030934129,0.0119701870249755,0,0,259.4935064935065,1385.975083259077,CHIA
GO_Biological_Process_2023,Aminoglycan Metabolic Process (GO:0006022),1/9,0.0053880625223818,0.0119701870249755,0,0,227.04545454545453,1185.9876925180256,CHIA
GO_Biological_Process_2023,Positive Regulation Of Defense Response To Bacterium (GO:1900426),1/10,0.0059850935124877,0.0119701870249755,0,0,201.8080808080808,1032.9512945731403,PGC
GO_Biological_Process_2023,Aminoglycan Catabolic Process (GO:0006026),1/14,0.0083699358209422,0.0139498930349037,0,0,139.6853146853147,668.1300945358273,CHIA
GO_Biological_Process_2023,Proteolysis (GO:0006508),2/330,0.0160603384256793,0.0229433406081134,0,0,11.98780487804878,49.5264470199393,PGC;PGA5
GO_Biological_Process_2023,Regulation Of Chemokine Production (GO:0032642),1/41,0.0243309700172123,0.0304137125215154,0,0,45.33636363636364,168.47016546086343,CHIA
GO_Biological_Process_2023,Positive Regulation Of Chemokine Production (GO:0032722),1/53,0.0313488904458292,0.0348321004953658,0,0,34.85314685314685,120.68168393395273,CHIA
GO_Biological_Process_2023,Positive Regulation Of Cytokine Production (GO:0001819),1/320,0.1760173270406909,0.1760173270406909,0,0,5.605300655457396,9.73737605698486,CHIA
